0	0.0
1	-2.6821260429395897E33
2	-2.682125955899427E33
3	-2.68212586421115E33
4	-2.682125764301149E33
5	-2.682125654000966E33
6	-2.6821255335814175E33
7	-2.6821254056215714E33
8	-2.6821252738183946E33
9	-2.68212514160228E33
10	-2.6821250113173353E33
11	-2.6821248841014245E33
12	-2.6821247601739813E33
13	-2.682124639210074E33
14	-2.6821245206340266E33
15	-2.68212440380152E33
16	-2.6821242880997607E33
17	-2.682124173003811E33
18	-2.6821240581147316E33
19	-2.682123943189799E33
20	-2.682123828164325E33
21	-2.682123713160531E33
22	-2.682123598480774E33
23	-2.682123484586824E33
24	-2.6821233720690555E33
25	-2.6821232616062396E33
26	-2.682123153906323E33
27	-2.6821230496039867E33
28	-2.682122949079033E33
29	-2.682122852168787E33
30	-2.682122757807559E33
31	-2.6821226637567665E33
32	-2.682122566734504E33
33	-2.682122463218366E33
34	-2.682122350782752E33
35	-2.682122229241252E33
36	-2.6821221007703104E33
37	-2.682121968914746E33
38	-2.682121837210751E33
39	-2.682121708244689E33
40	-2.682121583411523E33
41	-2.682121463144791E33
42	-2.6821213472856035E33
43	-2.6821212353891256E33
44	-2.682121126912593E33
45	-2.682121021305665E33
46	-2.6821209180439576E33
47	-2.682120816641343E33
48	-2.682120716664447E33
49	-2.682120617760445E33
50	-2.682120519697722E33
51	-2.6821204224094787E33
52	-2.682120326025098E33
53	-2.6821202308745674E33
54	-2.682120137455982E33
55	-2.682120046360624E33
56	-2.6821199581506806E33
57	-2.6821198731831425E33
58	-2.682119791381479E33
59	-2.6821197119921395E33
60	-2.6821196334332995E33
61	-2.682119553412306E33
62	-2.6821194694545485E33
63	-2.682119379759113E33
64	-2.682119283974618E33
65	-2.682119183401964E33
66	-2.6821190804791853E33
67	-2.6821189778989387E33
68	-2.682118877872732E33
69	-2.682118781813746E33
70	-2.6821186903869093E33
71	-2.6821186037312745E33
72	-2.6821185216911045E33
73	-2.6821184439795044E33
74	-2.68211837026345E33
75	-2.682118300188012E33
76	-2.682118233364583E33
77	-2.6821181693474806E33
78	-2.682118107622099E33
79	-2.6821180476244515E33
80	-2.682117988802731E33
81	-2.6821179307134944E33
82	-2.6821178731230015E33
83	-2.682117816070201E33
84	-2.682117759853197E33
85	-2.6821177049260346E33
86	-2.682117651724194E33
87	-2.682117600461262E33
88	-2.6821175509530916E33
89	-2.6821175025344074E33
90	-2.682117454132051E33
91	-2.682117404526433E33
92	-2.682117352749691E33
93	-2.682117298466224E33
94	-2.6821172421462774E33
95	-2.682117184939612E33
96	-2.682117128328101E33
97	-2.6821170737447483E33
98	-2.6821170223182885E33
99	-2.6821169747922724E33
100	-2.6821169315744004E33
101	-2.682116892841376E33
102	-2.682116858639771E33
103	-2.682116828951334E33
104	-2.6821168037117704E33
105	-2.6821167827830746E33
106	-2.682116765886982E33
107	-2.6821167525184533E33
108	-2.682116741876243E33
109	-2.682116732865274E33
110	-2.682116724222755E33
111	-2.682116714774705E33
112	-2.682116703747272E33
113	-2.682116690990837E33
114	-2.682116676992602E33
115	-2.6821166626618657E33
116	-2.682116648992567E33
117	-2.6821166367518174E33
118	-2.682116626299633E33
119	-2.6821166175697406E33
120	-2.6821166101851066E33
121	-2.6821166036543856E33
122	-2.682116597584017E33
123	-2.6821165918401874E33
124	-2.682116586613169E33
125	-2.682116582375261E33
126	-2.682116579766315E33
127	-2.6821165794634315E33
128	-2.6821165820831326E33
129	-2.682116588137097E33
130	-2.682116598035346E33
131	-2.682116612115537E33
132	-2.682116630673304E33
133	-2.682116653969997E33
134	-2.682116682196147E33
135	-2.682116715372155E33
136	-2.682116753180826E33
137	-2.68211679476211E33
138	-2.6821168385642076E33
139	-2.682116882406898E33
140	-2.682116923891538E33
141	-2.682116961111645E33
142	-2.6821169933481307E33
143	-2.6821170213302365E33
144	-2.682117046888292E33
145	-2.682117072229212E33
146	-2.682117099252307E33
147	-2.682117129178337E33
148	-2.6821171625079455E33
149	-2.6821171991791083E33
150	-2.682117238788908E33
151	-2.6821172808009765E33
152	-2.6821173247087313E33
153	-2.682117370146895E33
154	-2.6821174169504293E33
155	-2.682117465164188E33
156	-2.682117515013749E33
157	-2.682117566855116E33
158	-2.682117621123195E33
159	-2.6821176782940886E33
160	-2.682117738866195E33
161	-2.682117803353681E33
162	-2.682117872274757E33
163	-2.682117946106791E33
164	-2.682118025172E33
165	-2.682118109420692E33
166	-2.6821181981152506E33
167	-2.6821182895133317E33
168	-2.6821183807885904E33
169	-2.6821184684876923E33
170	-2.6821185495980514E33
171	-2.682118622781841E33
172	-2.682118688979739E33
173	-2.6821187509348004E33
174	-2.682118811998782E33
175	-2.682118875011533E33
176	-2.6821189417565086E33
177	-2.6821190129729467E33
178	-2.682119088644666E33
179	-2.682119168321219E33
180	-2.6821192513620656E33
181	-2.68211933709258E33
182	-2.6821194248983595E33
183	-2.6821195142847875E33
184	-2.682119604916614E33
185	-2.682119696641278E33
186	-2.682119789494765E33
187	-2.682119883690326E33
188	-2.682119979594412E33
189	-2.682120077696704E33
190	-2.682120178578313E33
191	-2.6821202828734977E33
192	-2.682120391206088E33
193	-2.68212050406679E33
194	-2.6821206215912133E33
195	-2.6821207432248413E33
196	-2.6821208673522714E33
197	-2.68212099112678E33
198	-2.682121110849731E33
199	-2.6821212230726623E33
200	-2.6821213260261166E33
201	-2.68212142046763E33
202	-2.682121509301229E33
203	-2.6821215962655354E33
204	-2.6821216846106066E33
205	-2.682121776422234E33
206	-2.6821218726151344E33
207	-2.6821219732650544E33
208	-2.682122077976869E33
